,county,customers_served,timestamp
0,accomack,27272,01-01-2025 09:23:22
2,alleghany,2262,01-04-2025 21:06:49
3,augusta,238,01-14-2025 21:37:38
4,bath,5000,01-02-2025 18:37:39
7,botetourt,1951,01-01-2025 04:51:50
12,brunswick,3333,01-01-2025 20:07:12
13,charlotte,1111,01-03-2025 02:52:12
8,craig,2248,01-01-2025 04:51:50
14,franklin,1,01-06-2025 22:07:02
9,giles,60,01-06-2025 11:21:50
15,greensville,2500,01-01-2025 02:52:12
16,halifax,6019,01-01-2025 00:07:06
5,highland,909,01-01-2025 04:22:58
17,lunenburg,400,02-10-2025 22:37:15
18,mecklenburg,10000,01-01-2025 05:52:03
10,montgomery,454,01-01-2025 04:51:50
1,northampton,9971,05-21-2025 10:37:12
19,pittsylvania,6667,01-01-2025 12:07:03
11,roanoke,716,01-01-2025 04:51:50
6,rockbridge,6667,01-01-2025 00:07:48
20,southampton,370,01-27-2025 02:52:11
21,sussex,152,05-06-2025 13:22:15
22,warren,125,01-11-2025 20:07:10
